revised_movement_label,segBoundary_start,segBoundary_end,frame_length,average_speed,average_back_height
climbing,48358,48425,67,51.9588231947784,49.30006529015373
rising,48426,48434,8,23.33156105417541,34.958001489400324
left_turning,48435,48454,19,106.03223302952956,36.64905418102133
sniffing,48455,48481,26,124.29606665422962,36.66681485921229
rising,48482,48485,3,56.41155020319901,40.9011918362698
climbing,48486,48498,12,74.26540885179166,45.1328079173103
walking,48499,48523,24,154.89538321451494,38.87499209604446
rearing,48524,48562,38,38.974073131595205,43.169758964199296
climbing,48563,48588,25,82.93624266666741,50.977529143032186
left_turning,48589,48595,6,174.63993542152775,36.062540107244025
walking,48596,48637,41,130.84563097780324,36.75971165440061
stepping,48638,48680,42,126.66809444103784,36.39973064063715
climbing,48681,48711,30,53.16724979993233,48.71618240763168
right_turning,48712,48717,5,158.78437118866265,39.12321457343493
walking,48718,48760,42,181.42672735683556,39.36230150602789
climbing,48761,48774,13,37.17153635813967,44.61529807806595
walking,48775,48780,5,88.59047278944017,35.897856816877244
sniffing,48781,48946,165,46.55116266141628,31.783125312578473
walking,48947,48978,31,123.90611074406662,36.73073535859541
stepping,48979,49003,24,135.31870625676157,37.59148398517627
climbing,49004,49029,25,30.92106485894393,44.463926727874636
sniffing,49030,49085,55,66.71152698824368,32.58455661119444
right_turning,49086,49118,32,88.9604258721016,38.78951114885723
walking,49119,49162,43,160.51583116272653,38.70931605981598
right_turning,49163,49208,45,48.90424346685073,34.638819059199
sniffing,49209,49258,49,28.550745009462066,33.899146956276816
walking,49259,49327,68,125.88099130323198,35.185935170980166
rising,49328,49352,24,44.540056530000186,43.68687329109594
sniffing,49353,49457,104,42.64026209703506,34.56089876231193
left_turning,49458,49490,32,86.7369250227619,37.47722639606442
walking,49491,49546,55,148.73875391934033,36.73811109792353
sniffing,49547,49603,56,9.857079184157197,33.49736736326833
rearing,49604,49650,46,43.03160299938379,36.94375110520983
trotting,49651,49698,47,245.1857641350795,33.30503323022241
sniffing,49699,49713,14,23.60442444369298,35.106899140468535
left_turning,49714,49771,57,110.96816181448193,33.962262487798824
sniffing,49772,49810,38,43.747296935916296,30.015478309580004
