revised_movement_label,segBoundary_start,segBoundary_end,frame_length,average_speed,average_back_height
rearing,29368,29387,19,35.56000429799044,40.56744904968416
hunching,29388,29396,8,87.22972539374304,30.814580712685295
stepping,29397,29415,18,67.5810691878617,20.1483423753781
sniffing,29416,29432,16,33.28284848967755,28.698528853018285
rearing,29433,29462,29,59.91603464224481,48.52110899255446
walking,29463,29525,62,157.77264398182956,29.959592766069974
grooming,29526,29558,32,51.34582192043917,32.371144668335766
sniffing,29559,29603,44,69.94410764414619,30.49479728991045
hunching,29604,29605,1,54.93232958354205,37.95121953871151
climbing,29606,29655,49,33.16739112688033,49.46857744328882
right_turning,29656,29679,23,97.12926653917368,29.44261015213029
walking,29680,29705,25,141.91352342703365,20.45789097181262
sniffing,29706,29711,5,36.94009912872034,24.643835962868014
rearing,29712,29745,33,32.21648552186695,49.409199986870185
sniffing,29746,29792,46,43.7236957173159,28.6177046736258
walking,29793,29806,13,157.32693843284355,22.99910418825097
sniffing,29807,29840,33,22.674557633435114,20.580821943662297
walking,29841,29877,36,177.07287746738106,25.11703417909354
stepping,29878,29906,28,95.41555575606031,24.707941734204958
sniffing,29907,29911,4,51.19492122358757,27.28388202723145
climbing,29912,30000,88,35.013928818666066,50.64997368819103
walking,30001,30025,24,153.00129503469887,31.930562062988628
sniffing,30026,30053,27,87.3888838914581,35.73621418514794
running,30054,30070,16,273.2037124508305,30.030095986424442
walking,30071,30094,23,136.5648423093086,20.529718917231893
sniffing,30095,30120,25,36.441940886397276,19.67250560972485
rearing,30121,30150,29,38.7156574843535,52.97741689582366
rising,30151,30154,3,42.51407237612238,33.0850467225726
sniffing,30155,30205,50,18.852628736472315,20.5414985719413
grooming,30206,30256,50,36.78020430278844,33.879255791490195
hunching,30257,30314,57,16.8531229483702,39.25820268244464
sniffing,30315,30331,16,53.48470552173799,33.658182647560565
hunching,30332,30353,21,26.81819605079534,42.55352356175852
stepping,30354,30371,17,58.12062616199983,28.949688330446673
rising,30372,30385,13,21.051281870607426,30.111439520736972
climbing,30386,30463,77,30.227750986531298,46.96555062549852
sniffing,30464,30490,26,56.480881668085786,32.865757833408026
climbing,30491,30550,59,39.04529762194853,41.875252098091536
walking,30551,30568,17,101.82174582700992,31.511854231164406
hunching,30569,30572,3,33.76717583846008,38.63214226407486
rising,30573,30599,26,57.517200682274634,35.64163630469496
climbing,30600,30643,43,42.13239579165894,54.26770145009127
rearing,30644,30644,0,115.85208430752787,34.4681564781999
left_turning,30645,30652,7,123.51917458410492,30.399995777828003
sniffing,30653,30703,50,51.90024881087102,32.25189027627164
left_turning,30704,30707,3,195.5458413304332,25.82715301655841
running,30708,30723,15,283.9431500615883,27.64029727162538
walking,30724,30754,30,168.31363283071465,21.82532341173909
sniffing,30755,30769,14,25.872051698931624,26.066101015395432
grooming,30770,30780,10,67.10488251068422,26.898692315698337
left_turning,30781,30788,7,232.80218345258248,22.575318486910753
walking,30789,30808,19,153.5823446000249,19.68559179632382
stepping,30809,30831,22,81.2088218277459,18.040363673760176
left_turning,30832,30834,2,92.05419229027939,26.932288780039134
stepping,30835,30866,31,94.36752454909188,28.048322964969483
sniffing,30867,30895,28,42.643131751317306,33.92095131877097
hunching,30896,30910,14,27.831565655596098,42.16817790551888
stepping,30911,30957,46,83.17920311453341,22.27564774136051
sniffing,30958,30965,7,67.38535691186343,29.891289713465362
climbing,30966,31005,39,25.837407122766734,44.24027804971356
sniffing,31006,31047,41,40.02072430976417,25.622566359093113
walking,31048,31060,12,107.84542595529707,25.70710621729309
sniffing,31061,31069,8,20.433669959594155,21.55433387278334
left_turning,31070,31092,22,48.85805423840766,22.003462530617295
sniffing,31093,31136,43,54.69049498096522,21.18505208129708
left_turning,31137,31162,25,81.78061483498904,30.643895403247107
walking,31163,31171,8,129.97697878751882,33.762635112749344
sniffing,31172,31194,22,34.683167121334705,37.478104636711855
rising,31195,31232,37,19.812587652894674,41.43762094819857
walking,31233,31288,55,109.01777296699989,30.504872764818035
sniffing,31289,31300,11,48.937870628454455,33.578493932591
hunching,31301,31314,13,30.592611809081905,37.884557232234066
walking,31315,31332,17,98.30438690345649,22.235177499699102
sniffing,31333,31352,19,66.00612874546633,31.585364795610452
stepping,31353,31370,17,66.25010311915342,19.373874156116255
walking,31371,31376,5,65.64305143850048,25.678171452083472
right_turning,31377,31389,12,104.49438962804604,25.177238071138603
trotting,31390,31401,11,191.7516902980544,24.2073277421777
stepping,31402,31432,30,91.1416211772857,23.28248731785299
trotting,31433,31461,28,187.39410404459045,21.425790599978424
sniffing,31462,31497,35,31.26812186539043,21.316101472516788
rearing,31498,31533,35,31.590864268841642,52.17773839127278
right_turning,31534,31544,10,147.48566743635013,30.05945321501216
walking,31545,31586,41,137.2940267876782,31.876904319529473
sniffing,31587,31594,7,90.52814397502982,31.849118895380208
hunching,31595,31629,34,21.53325833273029,39.58257104710411
grooming,31630,31649,19,80.27504915478605,29.158626891195656
hunching,31650,31655,5,64.5895911412468,36.34938713782001
rearing,31656,31680,24,50.88419417274686,47.60800495984663
walking,31681,31713,32,128.57005893343145,21.600137916601465
climbing,31714,31756,42,43.93649556333604,43.4751729355851
stepping,31757,31797,40,72.18596272779392,22.449834929699396
trotting,31798,31835,37,190.78565651543795,20.305114463868147
sniffing,31836,32023,187,24.998410951670117,22.82559854906831
hunching,32024,32047,23,25.712019906365782,35.36996155028108
climbing,32048,32099,51,25.317688433077688,51.36707109934797
sniffing,32100,32182,82,17.796320320501344,21.809992204902475
grooming,32183,32211,28,64.97478223499542,37.233609571312265
left_turning,32212,32216,4,163.02577769042102,27.849560573463528
walking,32217,32227,10,171.01485651580796,30.207903286484235
