revised_movement_label,segBoundary_start,segBoundary_end,frame_length,average_speed,average_back_height
climbing,61301,61360,59,20.832703320380112,35.74845311631171
rearing,61361,61420,59,10.443207720556527,35.24361765219524
hunching,61421,61450,29,19.70167011423002,33.94001968670933
rearing,61451,61560,109,12.582670314109729,35.39495454020914
grooming,61561,61665,104,18.61971177591392,34.75260821943475
rearing,61666,61705,39,13.22908150631631,35.568867866978295
sniffing,61706,61927,221,24.282085150870763,32.49334275561318
rearing,61928,61947,19,23.649471697582555,37.176820725598574
rising,61948,62202,254,21.505205306930065,41.77304313080131
rearing,62203,62322,119,28.92120284930433,37.735352551590104
grooming,62323,62532,209,26.036203933159506,40.11750557524873
hunching,62533,62552,19,33.82052798664476,41.85810812195781
rising,62553,62597,44,24.966786372829866,41.67455703377994
grooming,62598,62837,239,25.479186508390228,38.234178072961036
climbing,62838,62952,114,21.63294584586537,42.2763979326999
sniffing,62953,63002,49,17.368373329205095,42.43079852823872
hunching,63003,63062,59,20.12169037915982,41.53087686345325
sniffing,63063,63177,114,27.61084507390204,41.31219526959012
rising,63178,63282,104,24.914647397316344,40.660830692960694
rearing,63283,63327,44,26.913139239306627,40.265078724487005
grooming,63328,63667,339,18.467051052316872,38.04111434886321
rearing,63668,63902,234,16.349833080252765,36.14794444300475
sniffing,63903,64007,104,20.84681383915853,35.642740099680516
grooming,64008,64067,59,15.898005903225684,33.45037769268329
sniffing,64068,64200,132,24.90941463547998,27.616820331812193
pausing,64201,64951,750,13.763444976340745,32.80305481243988
sniffing,64952,65050,98,14.13028361729103,34.45212429762164
rising,65051,65060,9,30.957467227544942,35.86676206985967
right_turning,65061,65071,10,45.25016596181436,33.93890591155301
rising,65072,65080,8,37.07705625198943,36.390793478053055
rearing,65081,65110,29,17.06498958948352,37.306053056482476
rising,65111,65165,54,17.13125900378522,37.19979760090824
sniffing,65166,65190,24,24.627184691931383,34.267595313212745
rising,65191,65230,39,14.127189472519536,35.8300529264881
climbing,65231,65280,49,18.33203127345191,33.845610056387926
hunching,65281,65360,79,16.183516677637012,36.75304532442099
climbing,65361,65420,59,17.31542891416852,35.92386414124608
hunching,65421,65605,184,12.405900296538382,37.34423793190542
rearing,65606,65655,49,16.036605442866104,37.90420288784773
hunching,65656,65660,4,24.819860397071665,37.09847812362917
sniffing,65661,65700,39,12.32793817165065,32.023773734636016
pausing,65701,65851,150,9.949006029193553,33.33716250677376
sniffing,65852,65902,50,51.249422396395985,30.86991087829612
walking,65903,65977,74,151.10579895897027,28.761023432745812
sniffing,65978,66023,45,27.075197847737922,24.21515667432132
rising,66024,66058,34,35.793633018025666,28.822794926405095
climbing,66059,66123,64,50.26226893494389,49.35830534557373
hunching,66124,66138,14,56.3225783676147,32.46878240368075
right_turning,66139,66149,10,89.05867610992662,27.9340031025719
walking,66150,66248,98,130.37551480909266,28.952504442710516
sniffing,66249,66349,100,41.73760625702013,23.166167557208762
rearing,66350,66369,19,25.241350706352016,30.337517988214938
grooming,66370,66489,119,19.966869914558174,30.117366243760298
sniffing,66490,66639,149,32.38838784843893,27.339412307345434
walking,66640,66734,94,145.11079062837368,29.157155570401162
sniffing,66735,66830,95,12.291415117357715,26.96980592975599
rising,66831,66885,54,12.924097613655842,30.486014540616367
sniffing,66886,67184,298,21.69696747968806,26.234180248004495
rising,67185,67199,14,15.622353401804471,29.08607531553885
rearing,67200,67319,119,16.196832550442334,32.52243366322288
rising,67320,67349,29,16.425754702490146,29.48930894403353
rearing,67350,67399,49,31.26800758357037,34.270419371077686
sniffing,67400,67454,54,29.289366340940475,24.25964839880008
hunching,67455,67474,19,13.332148488856216,29.546453921544515
climbing,67475,67629,154,17.03544386249303,31.750108991235702
rising,67630,67649,19,36.55178564799361,29.08093944913474
sniffing,67650,67769,119,28.395411177983785,29.3402679531594
grooming,67770,67829,59,26.656916596372987,24.18887292965593
sniffing,67830,67889,59,15.281120884878245,25.589315204439824
rearing,67890,67899,9,40.76941492391991,30.08977877333599
climbing,67900,67929,29,49.98955497719274,42.41386504085372
right_turning,67930,67939,9,130.43948447741286,30.6121491166206
walking,67940,68016,76,160.3720871935371,26.628736037199992
rising,68017,68063,46,34.147542000006105,26.775184716039277
climbing,68064,68218,154,29.56795302032025,43.03500560640471
right_turning,68219,68227,8,99.1140896183048,33.165736308349466
stepping,68228,68254,26,47.18759600081218,30.739904118831298
left_turning,68255,68284,29,72.59574827587737,29.152606775832012
climbing,68285,68374,89,43.118750959025746,48.06450061712107
rising,68375,68394,19,57.465769907021766,33.79572841955776
walking,68395,68444,49,142.62803886249816,31.10311185375167
stepping,68445,68490,45,103.60156121926218,28.663028418360188
sniffing,68491,68661,170,23.28060086779015,25.7085597158815
rearing,68662,68681,19,24.796318168320447,27.959583268312308
sniffing,68682,68816,134,30.127592303632003,28.83833677951146
walking,68817,68866,49,135.60257082011788,29.79481384279922
sniffing,68867,68880,13,25.30809928418066,24.176260858554024
left_turning,68881,68921,40,107.46539821111934,28.584177604758136
sniffing,68922,69028,106,35.635495376607174,25.80282302824269
rising,69029,69058,29,20.747841541223565,28.38455726147284
climbing,69059,69103,44,42.49794834974262,44.25878417990462
rising,69104,69113,9,34.41439178608577,30.885453311855645
sniffing,69114,69212,98,40.961122099022546,27.176065800530523
grooming,69213,69272,59,23.546900597077688,28.585247652668595
sniffing,69273,69387,114,38.16158505277756,25.119191571378405
stepping,69388,69405,17,78.21553914049696,24.718339776010552
walking,69406,69458,52,166.8061729097451,24.896080539836884
climbing,69459,69508,49,32.06200802073947,32.71674012560888
rising,69509,69538,29,23.78151893830467,29.87984659291161
sniffing,69539,69563,24,67.18979343596874,27.928258900296772
stepping,69564,69581,17,110.39404387122555,30.371055101346215
walking,69582,69646,64,149.98895325712698,25.011746668705804
stepping,69647,69725,78,85.99112527687477,28.477095515237423
sniffing,69726,69830,104,44.74314319559826,30.080044888474667
rising,69831,69880,49,35.17699089853815,32.91780666815453
walking,69881,69922,41,74.4075237194913,31.461569265156083
rising,69923,69959,36,39.812923625560124,33.275252159201614
climbing,69960,69994,34,30.185437448218206,38.850493884873934
rising,69995,70029,34,40.465419281795974,31.366206950430204
left_turning,70030,70049,19,86.10238404946597,29.24865323748413
sniffing,70050,70059,9,65.48664800200463,33.24235425546608
rearing,70060,70064,4,45.456872984775416,38.118424792082834
climbing,70065,70169,104,21.36797955792388,40.224842270549885
