,revised_movement_label,step_type,bouts,valley_time_gap,vally_value,peak_time_gap,peak_value,group
1031,walking,distance1,3,12.9,45.00629274092484,12.444444444444445,59.76959614624168,Morning_lightOn
1032,walking,distance1,4,13.666666666666666,43.30287011633988,13.571428571428571,56.176318685588264,Morning_lightOn
1033,walking,distance1,5,13.0,42.148641577906005,14.333333333333334,52.92030393430299,Morning_lightOn
1034,walking,distance1,6,10.25,40.84956059727363,10.0,53.83081807557566,Morning_lightOn
1035,walking,distance1,7,11.25,39.47855084138638,10.6,53.07376781945593,Morning_lightOn
1036,walking,distance1,8,10.75,40.58767900348754,10.4,56.30936471176642,Morning_lightOn
1037,walking,distance1,9,10.285714285714286,41.929237666186836,10.25,52.99351117292239,Morning_lightOn
1038,walking,distance1,10,11.052631578947368,42.461969017119415,11.05,53.88873708630042,Morning_lightOn
1039,walking,distance1,11,8.2,42.034323389461456,8.833333333333334,53.970447255964665,Morning_lightOn
1040,walking,distance1,12,9.333333333333334,42.30772640115753,9.25,55.95960622358359,Morning_lightOn
1041,walking,distance1,13,9.666666666666666,40.14827725694489,9.4,50.13549628821511,Morning_lightOn
1042,walking,distance1,14,11.555555555555555,43.75190930698826,11.0,53.97817963098093,Morning_lightOn
1043,walking,distance1,15,9.333333333333334,43.03098627475376,8.75,57.94684778199295,Morning_lightOn
1044,walking,distance1,16,15.8,39.81531477813697,14.833333333333334,54.47631435308397,Morning_lightOn
1045,walking,distance1,17,11.0,42.556164439203556,12.666666666666666,54.456573363580915,Morning_lightOn
1046,walking,distance1,18,10.444444444444445,41.320544806447344,11.1,53.33118924272758,Morning_lightOn
1047,walking,distance1,19,10.25,40.533079057786914,9.666666666666666,51.39126875975199,Morning_lightOn
1048,walking,distance1,20,10.5,42.8553889625717,9.857142857142858,54.271616362991146,Morning_lightOn
1049,walking,distance1,21,10.0,43.99738647705743,10.25,55.92561779357618,Morning_lightOn
1050,walking,distance1,22,11.875,42.57177417740707,11.444444444444445,53.942110126478084,Morning_lightOn
1051,walking,distance1,23,8.5,43.96308619189646,8.222222222222221,51.765953419833295,Morning_lightOn
1052,walking,distance1,24,9.0,43.940785450947956,9.333333333333334,55.39679255411131,Morning_lightOn
1053,walking,distance1,25,11.0,41.897331354631305,12.5,55.41741354975867,Morning_lightOn
1054,walking,distance1,26,12.333333333333334,38.30282528581232,15.5,50.25882816708177,Morning_lightOn
1055,walking,distance1,27,7.8,41.08284878240033,7.833333333333333,52.4576933216888,Morning_lightOn
1056,walking,distance1,28,9.0,40.24075468661506,8.333333333333334,51.22147288189736,Morning_lightOn
1057,walking,distance1,29,10.571428571428571,42.98515403385825,11.375,54.91499220320807,Morning_lightOn
1058,walking,distance1,30,9.166666666666666,45.08859805902559,9.0,55.16627600463824,Morning_lightOn
1059,walking,distance1,31,6.666666666666667,45.43382028086417,7.5,55.544027503150446,Morning_lightOn
1060,walking,distance1,32,8.0,43.63554008190253,7.6,54.681614937883886,Morning_lightOn
1061,walking,distance1,33,8.142857142857142,44.40967473141032,8.375,55.7153868761668,Morning_lightOn
1062,walking,distance1,34,11.5,39.83089291320336,10.857142857142858,50.945711425140445,Morning_lightOn
1063,walking,distance1,35,12.333333333333334,45.924236150657336,10.75,58.20270340978897,Morning_lightOn
1064,walking,distance1,36,13.0,40.58548694011155,12.0,54.23291944305102,Morning_lightOn
1065,walking,distance1,37,8.4,42.45124707543281,8.5,53.88866487838532,Morning_lightOn
1066,walking,distance1,38,8.25,36.96290722923112,8.6,48.99235507406461,Morning_lightOn
1067,walking,distance1,39,8.2,42.73007645810028,8.25,53.31254580471673,Morning_lightOn
1068,walking,distance1,40,8.666666666666666,43.933928290542504,8.75,58.40433806180484,Morning_lightOn
1069,walking,distance1,41,10.25,43.026168950685125,10.0,58.62977128735012,Morning_lightOn
1070,walking,distance1,42,13.666666666666666,40.7109793239079,12.75,54.3581891203148,Morning_lightOn
1071,walking,distance1,43,8.0,40.762311989464216,7.5,47.69911129859666,Morning_lightOn
1072,walking,distance1,44,8.75,42.9912503610126,8.4,55.58267760690841,Morning_lightOn
1073,walking,distance1,45,9.5,41.05929103053266,9.0,53.6251915975424,Morning_lightOn
1074,walking,distance1,46,10.25,42.73132794629138,9.8,53.60766283305546,Morning_lightOn
1075,walking,distance1,47,7.0,47.97597671785782,7.0,59.306834800886534,Morning_lightOn
1076,walking,distance1,48,7.2,43.11069953269228,7.25,52.264752071163414,Morning_lightOn
1077,walking,distance1,49,12.0,38.03592397981582,11.777777777777779,50.66621561521529,Morning_lightOn
1078,walking,distance1,50,11.5,42.48318341769577,11.0,53.70362632547497,Morning_lightOn
1079,walking,distance1,51,10.0,44.159438910628026,9.5,56.063060213030404,Morning_lightOn
1080,walking,distance1,52,8.75,42.58995651180603,9.0,54.88706180525904,Morning_lightOn
1081,walking,distance1,53,8.75,42.92004433830351,9.0,54.01662381986935,Morning_lightOn
1082,walking,distance1,54,11.25,45.42594622780656,10.4,57.78836367660883,Morning_lightOn
1083,walking,distance1,55,15.0,36.319884504527195,14.0,48.89529222065751,Morning_lightOn
1084,walking,distance1,56,8.0,41.94869318004385,8.75,55.27537809866516,Morning_lightOn
1085,walking,distance1,57,7.8,41.22400211987132,10.333333333333334,55.18446543167893,Morning_lightOn
1086,walking,distance1,58,10.833333333333334,43.38782957898102,10.571428571428571,54.33328686734859,Morning_lightOn
1087,walking,distance1,59,9.0,45.784861078675654,9.0,56.5507373745523,Morning_lightOn
1088,walking,distance1,60,9.714285714285714,42.72623215289805,9.75,54.34669446781209,Morning_lightOn
1089,walking,distance1,61,8.8,45.7140312610423,8.833333333333334,56.3062362651698,Morning_lightOn
1090,walking,distance1,62,8.5,42.99732034073836,7.666666666666667,52.1859925482395,Morning_lightOn
1091,walking,distance1,63,8.875,41.84907963218059,8.857142857142858,54.69019784290158,Morning_lightOn
1092,walking,distance1,64,7.666666666666667,43.86233533128873,9.0,58.1926628905954,Morning_lightOn
1093,walking,distance1,65,10.5,41.88924778444293,9.6,51.99270580305687,Morning_lightOn
1094,walking,distance1,66,10.25,43.665982305590035,11.0,54.685718441571574,Morning_lightOn
1095,walking,distance1,67,7.0,40.34760061334793,8.75,50.97661797319189,Morning_lightOn
1096,walking,distance1,68,9.666666666666666,43.03597560264241,11.5,54.74512179134749,Morning_lightOn
1097,walking,distance1,69,13.5,42.06474892483921,13.0,53.91522968238718,Morning_lightOn
1098,walking,distance1,70,9.0,42.9153667899411,8.333333333333334,56.71376637720176,Morning_lightOn
1099,walking,distance1,71,6.0,46.86434746737007,5.75,59.95224643006172,Morning_lightOn
1100,walking,distance1,72,10.0,45.75868563516635,10.666666666666666,57.76120961997223,Morning_lightOn
1101,walking,distance1,73,10.666666666666666,40.65551203624908,10.0,55.31694487154894,Morning_lightOn
1102,walking,distance1,74,9.666666666666666,43.23947674140083,9.5,55.188215497852354,Morning_lightOn
1103,walking,distance1,75,10.5,43.47447135161773,12.333333333333334,56.875808836504916,Morning_lightOn
1104,walking,distance1,76,12.25,44.57714647011437,14.0,56.95466634784049,Morning_lightOn
1105,walking,distance1,77,9.714285714285714,45.14678011711659,9.875,55.370636889806654,Morning_lightOn
1106,walking,distance1,78,8.5,39.62676062840816,8.2,50.374541314494316,Morning_lightOn
1107,walking,distance1,79,12.0,40.76265407498104,11.857142857142858,57.751712135452365,Morning_lightOn
1108,walking,distance1,80,13.0,41.11870226239793,12.0,54.04999985365133,Morning_lightOn
1109,walking,distance1,81,10.25,41.215274185473596,10.0,55.82776374464658,Morning_lightOn
1110,stepping,distance1,1,12.833333333333334,39.683284111707295,13.8,54.15957987049172,Morning_lightOn
1111,stepping,distance1,2,8.5,40.35645444170769,8.333333333333334,50.177730711704,Morning_lightOn
1112,stepping,distance1,3,13.0,35.93879884555976,15.0,44.45021436361151,Morning_lightOn
1113,stepping,distance1,4,14.666666666666666,44.780926237808416,12.0,58.1014361290751,Morning_lightOn
1114,stepping,distance1,5,16.0,40.555703345245455,18.333333333333332,57.055728239540926,Morning_lightOn
1115,running,distance1,1,6.0,44.16057943652633,5.5,51.17145177012494,Morning_lightOn
1116,running,distance1,2,6.333333333333333,41.100415812582604,6.0,52.70758628547321,Morning_lightOn
1117,running,distance1,3,7.0,39.81776572029348,6.5,51.904033267697116,Morning_lightOn
