revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
rising,43491,43450,43491,41
climbing,43516,43491,43516,25
stepping,43517,43516,43517,1
rising,43535,43517,43535,18
sniffing,43536,43535,43536,1
climbing,43563,43536,43563,27
trotting,43601,43563,43601,38
sniffing,43655,43601,43655,54
stepping,43676,43655,43676,21
climbing,43752,43676,43752,76
walking,43786,43752,43786,34
sniffing,43868,43786,43868,82
rising,43886,43868,43886,18
walking,43891,43886,43891,5
sniffing,43909,43891,43909,18
climbing,43944,43909,43944,35
trotting,43974,43944,43974,30
left_turning,44028,43974,44028,54
sniffing,44075,44028,44075,47
left_turning,44076,44075,44076,1
trotting,44088,44076,44088,12
walking,44104,44088,44104,16
stepping,44162,44104,44162,58
right_turning,44173,44162,44173,11
trotting,44198,44173,44198,25
stepping,44263,44198,44263,65
rising,44333,44263,44333,70
rearing,44503,44333,44503,170
sniffing,44624,44503,44624,121
stepping,44625,44624,44625,1
rising,44657,44625,44657,32
sniffing,44683,44657,44683,26
climbing,44736,44683,44736,53
stepping,44749,44736,44749,13
grooming,45009,44749,45009,260
left_turning,45059,45009,45059,50
rising,45084,45059,45084,25
