revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
rising,24396,24395,24396,1
rearing,24457,24396,24457,61
hunching,24497,24457,24497,40
rising,24564,24497,24564,67
sniffing,24697,24564,24697,133
walking,24749,24697,24749,52
sniffing,24810,24749,24810,61
left_turning,24811,24810,24811,1
sniffing,24871,24811,24871,60
rising,24928,24871,24928,57
sniffing,25035,24928,25035,107
rising,25074,25035,25074,39
grooming,25125,25074,25125,51
rearing,25131,25125,25131,6
grooming,25282,25131,25282,151
rearing,25377,25282,25377,95
rising,25404,25377,25404,27
rearing,25433,25404,25433,29
grooming,25638,25433,25638,205
sniffing,25699,25638,25699,61
climbing,25753,25699,25753,54
rising,25789,25753,25789,36
climbing,25833,25789,25833,44
rising,25839,25833,25839,6
sniffing,25883,25839,25883,44
stepping,25909,25883,25909,26
left_turning,25975,25909,25975,66
walking,25983,25975,25983,8
rising,25984,25983,25984,1
walking,26023,25984,26023,39
sniffing,26024,26023,26024,1
running,26043,26024,26043,19
left_turning,26083,26043,26083,40
walking,26128,26083,26128,45
sniffing,26144,26128,26144,16
trotting,26195,26144,26195,51
sniffing,26260,26195,26260,65
left_turning,26279,26260,26279,19
rising,26305,26279,26305,26
climbing,26356,26305,26356,51
walking,26405,26356,26405,49
trotting,26440,26405,26440,35
stepping,26478,26440,26478,38
left_turning,26519,26478,26519,41
sniffing,26540,26519,26540,21
climbing,26630,26540,26630,90
rising,26693,26630,26693,63
left_turning,26735,26693,26735,42
walking,26736,26735,26736,1
trotting,26754,26736,26754,18
sniffing,26755,26754,26755,1
rising,26758,26755,26758,3
hunching,26791,26758,26791,33
climbing,26870,26791,26870,79
rearing,27128,26870,27128,258
grooming,27299,27128,27299,171
hunching,27300,27299,27300,1
climbing,27329,27300,27329,29
rearing,27451,27329,27451,122
sniffing,27473,27451,27473,22
pausing,27736,27473,27736,263
sniffing,27758,27736,27758,22
rising,27784,27758,27784,26
climbing,27807,27784,27807,23
walking,27862,27807,27862,55
trotting,27893,27862,27893,31
running,27928,27893,27928,35
sniffing,27929,27928,27929,1
left_turning,27968,27929,27968,39
sniffing,27999,27968,27999,31
rising,28000,27999,28000,1
sniffing,28001,28000,28001,1
left_turning,28062,28001,28062,61
trotting,28113,28062,28113,51
walking,28163,28113,28163,50
trotting,28180,28163,28180,17
rising,28235,28180,28235,55
sniffing,28328,28235,28328,93
climbing,28412,28328,28412,84
rearing,28475,28412,28475,63
climbing,28539,28475,28539,64
sniffing,28596,28539,28596,57
left_turning,28668,28596,28668,72
walking,28706,28668,28706,38
sniffing,28707,28706,28707,1
grooming,28784,28707,28784,77
sniffing,29028,28784,29028,244
walking,29029,29028,29029,1
sniffing,29034,29029,29034,5
left_turning,29100,29034,29100,66
sniffing,29101,29100,29101,1
walking,29138,29101,29138,37
sniffing,29214,29138,29214,76
running,29248,29214,29248,34
sniffing,29296,29248,29296,48
climbing,29450,29296,29450,154
sniffing,29485,29450,29485,35
walking,29596,29485,29596,111
stepping,29661,29596,29661,65
sniffing,29762,29661,29762,101
rising,29768,29762,29768,6
sniffing,29835,29768,29835,67
walking,29910,29835,29910,75
left_turning,29942,29910,29942,32
sniffing,29970,29942,29970,28
rearing,30001,29970,30001,31
sniffing,30074,30001,30074,73
walking,30119,30074,30119,45
left_turning,30165,30119,30165,46
walking,30201,30165,30201,36
sniffing,30202,30201,30202,1
climbing,30203,30202,30203,1
walking,30245,30203,30245,42
sniffing,30246,30245,30246,1
left_turning,30286,30246,30286,40
walking,30383,30286,30383,97
climbing,30411,30383,30411,28
rising,30429,30411,30429,18
climbing,30469,30429,30469,40
walking,30490,30469,30490,21
climbing,30583,30490,30583,93
walking,30584,30583,30584,1
sniffing,30652,30584,30652,68
hunching,30689,30652,30689,37
sniffing,30723,30689,30723,34
rising,30754,30723,30754,31
rearing,30772,30754,30772,18
right_turning,30783,30772,30783,11
walking,30784,30783,30784,1
