revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
walking,23823,23817,23823,6
stepping,23882,23823,23882,59
sniffing,23967,23882,23967,85
stepping,24045,23967,24045,78
walking,24084,24045,24084,39
left_turning,24140,24084,24140,56
walking,24152,24140,24152,12
hunching,24196,24152,24196,44
grooming,24197,24196,24197,1
stepping,24243,24197,24243,46
trotting,24273,24243,24273,30
sniffing,24274,24273,24274,1
rising,24306,24274,24306,32
sniffing,24466,24306,24466,160
rising,24496,24466,24496,30
hunching,24497,24496,24497,1
rearing,24498,24497,24498,1
rising,24505,24498,24505,7
grooming,24649,24505,24649,144
rearing,24650,24649,24650,1
grooming,24651,24650,24651,1
rearing,24714,24651,24714,63
walking,24775,24714,24775,61
sniffing,24809,24775,24809,34
grooming,24888,24809,24888,79
rising,24918,24888,24918,30
rearing,24980,24918,24980,62
hunching,24987,24980,24987,7
grooming,25003,24987,25003,16
left_turning,25049,25003,25049,46
sniffing,25050,25049,25050,1
climbing,25165,25050,25165,115
left_turning,25216,25165,25216,51
sniffing,25273,25216,25273,57
rearing,25320,25273,25320,47
grooming,25352,25320,25352,32
rearing,25440,25352,25440,88
walking,25458,25440,25458,18
running,25467,25458,25467,9
sniffing,25634,25467,25634,167
walking,25669,25634,25669,35
sniffing,25670,25669,25670,1
rising,25693,25670,25693,23
grooming,25694,25693,25694,1
sniffing,25711,25694,25711,17
rising,25746,25711,25746,35
walking,25791,25746,25791,45
grooming,25792,25791,25792,1
rearing,25834,25792,25834,42
trotting,25869,25834,25869,35
walking,25918,25869,25918,49
sniffing,25966,25918,25966,48
rising,25998,25966,25998,32
rearing,26032,25998,26032,34
grooming,26033,26032,26033,1
sniffing,26197,26033,26197,164
stepping,26251,26197,26251,54
rising,26252,26251,26252,1
climbing,26276,26252,26276,24
left_turning,26310,26276,26310,34
rearing,26365,26310,26365,55
grooming,26504,26365,26504,139
sniffing,26621,26504,26621,117
left_turning,26689,26621,26689,68
grooming,26926,26689,26926,237
walking,26938,26926,26938,12
sniffing,26947,26938,26947,9
grooming,26948,26947,26948,1
rising,26989,26948,26989,41
hunching,26990,26989,26990,1
right_turning,27045,26990,27045,55
running,27061,27045,27061,16
climbing,27105,27061,27105,44
grooming,27106,27105,27106,1
right_turning,27107,27106,27107,1
sniffing,27108,27107,27108,1
trotting,27126,27108,27126,18
stepping,27167,27126,27167,41
sniffing,27255,27167,27255,88
grooming,27333,27255,27333,78
hunching,27459,27333,27459,126
sniffing,27597,27459,27597,138
rising,27606,27597,27606,9
climbing,27633,27606,27633,27
right_turning,27656,27633,27656,23
stepping,27701,27656,27701,45
grooming,27761,27701,27761,60
stepping,27783,27761,27783,22
climbing,27811,27783,27811,28
grooming,27812,27811,27812,1
rearing,27850,27812,27850,38
sniffing,27907,27850,27907,57
left_turning,27931,27907,27931,24
running,27953,27931,27953,22
right_turning,28007,27953,28007,54
rising,28052,28007,28052,45
grooming,28221,28052,28221,169
walking,28222,28221,28222,1
climbing,28241,28222,28241,19
rising,28272,28241,28272,31
rearing,28273,28272,28273,1
grooming,28275,28273,28275,2
right_turning,28360,28275,28360,85
trotting,28394,28360,28394,34
running,28410,28394,28410,16
trotting,28417,28410,28417,7
stepping,28444,28417,28444,27
rearing,28445,28444,28445,1
left_turning,28474,28445,28474,29
walking,28530,28474,28530,56
trotting,28549,28530,28549,19
walking,28594,28549,28594,45
sniffing,28776,28594,28776,182
left_turning,28847,28776,28847,71
grooming,28848,28847,28848,1
rising,28862,28848,28862,14
sniffing,28948,28862,28948,86
running,28976,28948,28976,28
stepping,28997,28976,28997,21
